 1 "Algeria"            0.7842 0.6742
 2 "Argentina"          0.2643 0.2643
 3 "Australia"          0.3724 0.8080
 4 "Austria"            0.6082 0.3733
 5 "Barbados"           0.1677 0.5262
 6 "Bangladesh"         0.2388 0.9263
 7 "Belgium /Lux."      0.5515 0.3415
 8 "Belize"             0.1198 0.8247
 9 "Bolivia"            0.0545 0.2730
10 "Brazil"             0.2030 0.6513
11 "Canada"             0.2465 0.7165
12 "Chile"              0.1759 0.5778
13 "China"              0.3821 0.6179
14 "Colombia"           0.1667 0.5000
15 "Croatia"            0.5521 0.1708
16 "Cyprus"             0.3724 0.1920
17 "Czech Rep."         0.7842 0.3258
18 "Denmark"            0.4738 0.1677
19 "Ecuador"            0.2158 0.3258
20 "Egypt"              0.7697 0.6959
21 "El Salvador"        0.0737 0.7612
22 "Fiji"               0.3087 0.9619
23 "Finland"            0.6959 0.2303
24 "France Mon."        0.6585 0.5515
25 "French Guiana"      0.1753 0.1198
26 "Germany"            0.3415 0.4485
27 "Greece"             0.5778 0.1759
28 "Guadeloupe"         0.2730 0.0545
29 "Guatemala"          0.0381 0.6913
30 "Honduras"           0.0245 0.3455
31 "Hong Kong"          0.2835 0.7535
32 "Hungary"            0.6742 0.2158
33 "Iceland"            0.8241 0.4222
34 "India"              0.5521 0.8292
35 "Indonesia"          0.6959 0.7697
36 "Ireland"            0.8292 0.5521
37 "Israel"             0.8241 0.5778
38 "Italy"              0.3733 0.3918
39 "Japan"              0.4485 0.6585
40 "Jordan"             0.8170 0.6030
41 "Korea. Rep. Of"     0.6742 0.7842
42 "Kuwait"             0.5778 0.8241
43 "Latvia"             0.5000 0.1667
44 "Madagascar"         0.3258 0.2158
45 "Malaysia"           0.6513 0.7970
46 "Martinique"         0.3455 0.0245
47 "Mauritius"          0.7357 0.7357
48 "Mexico"             0.0062 0.5782
49 "Morocco"            0.8333 0.5000
50 "Netherlands"        0.5980 0.6348
51 "New Zealand"        0.5000 0.8333
52 "Nicaragua"          0.0245 0.6545
53 "Norway"             0.7535 0.2835
54 "Oman"               0.7535 0.7165
55 "Pakistan"           0.7165 0.7535
56 "Panama"             0.0015 0.4608
57 "Paraguay"           0.0062 0.4218
58 "Peru"               0.1708 0.4479
59 "Philippines"        0.4738 0.8323
60 "Poland"             0.6276 0.1920
61 "Portugal"           0.8170 0.3970
62 "Moldava. Rep. Of"   0.7270 0.0545
63 "Reunion"            0.4608 0.0015
64 "Romania"            0.8080 0.3724
65 "Seychelles"         0.6167 0.0138
66 "Singapore"          0.6276 0.8080
67 "Slovenia"           0.7165 0.2465
68 "Southern Africa"    0.7970 0.6513
69 "Spain"              0.1920 0.3724
70 "Sri Lanka"          0.3970 0.8170
71 "Sweden"             0.4362 0.3460
72 "Switzerland"        0.6585 0.4485
73 "Thailand"           0.4479 0.8292
74 "Trinidad Tobago"    0.3041 0.7697
75 "Tunisia"            0.8080 0.6276
76 "Turkey"             0.8323 0.4738
77 "United Kingdom"     0.5389 0.6621
78 "United States"      0.3415 0.5515
79 "Uruguay"            0.2465 0.2835
80 "Venezuela"          0.1759 0.4222
